conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1721316068881518992,Sun Nov 05 23:58:26 +0000 2023,0,Jakarta CNBC Indonesia - Accurate Research and Consulting Indonesia (ARCI) merilis hasil survei terbaru di Jatim terkait elektabilitas bacapres-bacawapres yang sudah mendaftar di KPU. Hasilnya Prabowo-Subianto-Gibran Rakabuming Raka teratas. #Prabowo,1721316071691763970,,yossrsro,in,,0,1,0,https://x.com/yossrsro/status/1721316071691763970,886878090768424960,yossrsro
1721315607935906112,Sun Nov 05 23:56:36 +0000 2023,0,Kedewasaan dan Kematangan @AdianNapitupul1 dlm berpolitik akhirnya runtuh Juga oleh anak ingusan yang bernama Gibran Rakabuming Raka. . . Inilah kalau Tuhan sdh punya kerjaan. Sehebat apapun penolakan itu Gibran akan melesat melewatinya.,1721315607935906112,,,in,,0,1,0,https://x.com/Dulure_Gibran/status/1721315607935906112,4319618606,Dulure_Gibran
1721313517716803861,Sun Nov 05 23:48:17 +0000 2023,0,Memgapa Kau Tahan Marahmu? : Datuk Panglima Nusantara #HUT_Partai_Golkar #Gibran_Rakabuming_Raka #AirlanggaHartarto #TikTok https://t.co/wuo83lXR1s,1721313517716803861,,,in,"Bumi Aksara, Semesta Selatan ☯",0,0,0,https://x.com/IndraJPiliang/status/1721313517716803861,101156777,IndraJPiliang
1721312329164632500,Sun Nov 05 23:43:34 +0000 2023,37,Saatnya Gibran Rakabuming menjadi Ketum Partai Golkar mumpung jadi Cawapres pasti didukung penuh Erlangga Hartanto (Ketum saat ini) senior Golkar dll &amp; akan menjadi kekuatan besar bersama Kaesang Ketum PSI. Menang-Kalah saya tetap pilih #GanjarMahfud2024 di Pilpres 2024,1721312329164632500,,,in,Jakarta - Yogya - Rotterdam,2,18,7,https://x.com/Jayabay19479190/status/1721312329164632500,794509735282102272,Jayabay19479190
1721310631142490139,Sun Nov 05 23:36:49 +0000 2023,0,Siapa sangka lulusan kampus elit Australia berubah jadi pedagang martabak dan siap bertarung di Pilpres 2024. Gibran Rakabuming Raka anak Presiden Jokowi maju sebagai cawapres pendamping!,1721310631142490139,,,in,Sibolga,0,0,0,https://x.com/nanabanjaskud/status/1721310631142490139,1678677964966486016,nanabanjaskud
1721310519343321516,Sun Nov 05 23:36:22 +0000 2023,0,Anwar Usman Pamannya Gibran Rakabuming Raka kalau Punya Rasa Malu yang Tinggi Mestinya Sudah Mundur dari Hakim MK https://t.co/dO9eVCQw42,1721310519343321516,,,in,,0,0,0,https://x.com/MelyanSori/status/1721310519343321516,1643079212,MelyanSori
1721283209466654773,Sun Nov 05 23:29:13 +0000 2023,1,@AmoKarmanaSPdI @abu_waras gak gitu Bang hanya Allah yang Maha Tahu tapi yang bersangkutan telah bersyahadat Kisah Mualaf Selvi Ananda Istri Gibran Rakabuming Raka Masuk Islam Sebelum Dinikahi Putra Jokowi https://t.co/xZQGtjxSZ4.,1721308720226005114,,AkangKarman1,in,,0,1,0,https://x.com/surabioncomamis/status/1721308720226005114,1604336540598968320,surabioncomamis
1721302657489625217,Sun Nov 05 23:05:08 +0000 2023,2,Ini merupakan kali kedua pertemuan antara Ma'ruf dan tiga bacawapres yakni Gibran Rakabuming Raka Mahfud MD dan Muhaimin Iskandar ditunda. https://t.co/fipY2FL1kL,1721302657489625217,,,in,Jakarta,1,12,0,https://x.com/kompascom/status/1721302657489625217,23343960,kompascom
1721296226648555930,Sun Nov 05 22:39:35 +0000 2023,4,Sah! Gibran Rakabuming Akhirnya 'Dikuningkan' Hasto Mengaku Menelepon Airlangga soal Status Cawapres Prabowo https://t.co/gmMttQWuei,1721296226648555930,,,in,"Pulo Gadung, Indonesia",0,7,2,https://x.com/tvOneNews/status/1721296226648555930,55507370,tvOneNews
1721291198256878039,Sun Nov 05 22:19:36 +0000 2023,17,Gibran Rakabuming Raka sudah bukan lagi menjadi keluarga besar PDI Perjuangan. https://t.co/kLRzyr6FUh,1721291198256878039,,,in,Jakarta,4,21,0,https://x.com/kompascom/status/1721291198256878039,23343960,kompascom
1721290612002156891,Sun Nov 05 22:17:28 +0000 2023,0,M Lisman Pujakusuma yg jg sebagai Tim Asistensi Bappilu DPP Partai GERINDRA berharap bahwa Posko Juang Prabowo Gibran ini akan menjadi wadah perjuangan yang memenangkan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden untuk kesejahteraan bangsa.,1721290661457248484,,DKliktivisme,in,,0,0,0,https://x.com/DKliktivisme/status/1721290661457248484,1607710462120202241,DKliktivisme
1721290612002156891,Sun Nov 05 22:17:26 +0000 2023,0, Peresmian Posko Juang Prabowo Gibran ini menjadi momen penting dalam upaya memenangkan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden Republik Indonesia tahun 2024 Puja menjelaskan.,1721290653450346928,,DKliktivisme,in,,0,1,0,https://x.com/DKliktivisme/status/1721290653450346928,1607710462120202241,DKliktivisme
1721290612002156891,Sun Nov 05 22:17:20 +0000 2023,0,Inisiator peresmian posko juang Prabowo Subianto dan Gibran Rakabuming Raka Lisman Puja Kesuma mengatakan bahwa posko tersebut menjadi langkah dan pusat dalam perjuangan menuju Pemilu Presiden tahun 2024.,1721290630285111598,,DKliktivisme,in,,0,1,0,https://x.com/DKliktivisme/status/1721290630285111598,1607710462120202241,DKliktivisme
1721288521552736360,Sun Nov 05 22:09:15 +0000 2023,0,M Lisman Pujakusuma yg jg sebagai Tim Asistensi Bappilu DPP Partai GERINDRA berharap bahwa Posko Juang Prabowo Gibran ini akan menjadi wadah perjuangan yang memenangkan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden untuk kesejahteraan bangsa.,1721288592629309935,,politikngaji2,in,,0,0,0,https://x.com/politikngaji2/status/1721288592629309935,1607654585635852288,politikngaji2
1721288521552736360,Sun Nov 05 22:09:12 +0000 2023,0, Peresmian Posko Juang Prabowo Gibran ini menjadi momen penting dalam upaya memenangkan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden Republik Indonesia tahun 2024 Puja menjelaskan.,1721288583536066702,,politikngaji2,in,,0,1,0,https://x.com/politikngaji2/status/1721288583536066702,1607654585635852288,politikngaji2
1721288521552736360,Sun Nov 05 22:09:05 +0000 2023,0,Inisiator peresmian posko juang Prabowo Subianto dan Gibran Rakabuming Raka Lisman Puja Kesuma mengatakan bahwa posko tersebut menjadi langkah dan pusat dalam perjuangan menuju Pemilu Presiden tahun 2024.,1721288552137605297,,politikngaji2,in,,0,1,0,https://x.com/politikngaji2/status/1721288552137605297,1607654585635852288,politikngaji2
1721287299458281484,Sun Nov 05 22:04:16 +0000 2023,0,M Lisman Pujakusuma yg jg sebagai Tim Asistensi Bappilu DPP Partai GERINDRA berharap bahwa Posko Juang Prabowo Gibran ini akan menjadi wadah perjuangan yang memenangkan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden untuk kesejahteraan bangsa.,1721287341837586470,,autokrat_not,in,,0,0,0,https://x.com/autokrat_not/status/1721287341837586470,1607672936911220737,autokrat_not
1721287299458281484,Sun Nov 05 22:04:14 +0000 2023,0, Peresmian Posko Juang Prabowo Gibran ini menjadi momen penting dalam upaya memenangkan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden Republik Indonesia tahun 2024 Puja menjelaskan.,1721287333436334147,,autokrat_not,in,,0,1,0,https://x.com/autokrat_not/status/1721287333436334147,1607672936911220737,autokrat_not
1721287299458281484,Sun Nov 05 22:04:11 +0000 2023,0,Inisiator peresmian posko juang Prabowo Subianto dan Gibran Rakabuming Raka Lisman Puja Kesuma mengatakan bahwa posko tersebut menjadi langkah dan pusat dalam perjuangan menuju Pemilu Presiden tahun 2024.,1721287319003844848,,autokrat_not,in,,0,1,0,https://x.com/autokrat_not/status/1721287319003844848,1607672936911220737,autokrat_not
1721271166457843980,Sun Nov 05 21:00:00 +0000 2023,0,PDI Perjuangan masih belum memecat Gibran Rakabuming Raka meski menjadi bacawapres mendampingi Prabowo Subianto pada Pemilu 2024 mendatang. #PDIP #GibranRakabuming https://t.co/qFXxdDduZv,1721271166457843980,,,in,"Jakarta Capital Region, Indone",0,0,0,https://x.com/medcom_id/status/1721271166457843980,902837643024539651,medcom_id
1721247180139471332,Sun Nov 05 19:24:41 +0000 2023,0,Hasto Sebut Gibran Rakabuming Sudah Kembalikan KTA: Pamitnya Diterima. https://t.co/IhWO7cgsKs Sudah diselesaikan oleh DPC PDI-Perjuangan Kota Surakarta karena Mas Gibran 'kan menerima KTA dari DPC Kota Surakarta kata Hasto di Denpasar Bali Sabtu 04 November 2023.,1721247180139471332,,,in,"Jakarta Selatan, DKI Jakarta",0,0,0,https://x.com/sirajapadoha/status/1721247180139471332,4517167514,sirajapadoha
1721236979617243631,Sun Nov 05 18:44:09 +0000 2023,0,Siapa Rosan Roeslani? Ketua Tim Pemenangan Prabowo Subianto-Gibran Rakabuming Raka di Pilpres 2024 - Tribun Kaltara https://t.co/DMtcdl4hIF #Jokowinomics #MenataMasaDepan #BersamaPrabowo,1721236979617243631,,,in,Jakarta Capital Region,0,0,7,https://x.com/AdrianaDaneen/status/1721236979617243631,1068101963059879936,AdrianaDaneen
1721228937198809386,Sun Nov 05 18:12:12 +0000 2023,0,Penarik Becak Ponorogo Dukung Prabowo dan Gibran. Gelombang dukungan terhadap Bakal Calon Presiden (Bacapres) Prabowo Subianto dan Bakal Calon Wakil Presiden (Bacawapres) Gibran Rakabuming https://t.co/TJrKOBU8I6 #PolitikPemerintahan #Jatim #PenarikBecak via @beritajatimcom,1721228937198809386,,,in,Surabaya,0,0,0,https://x.com/beritajatimcom/status/1721228937198809386,21287066,beritajatimcom
1721223607467331812,Sun Nov 05 17:51:01 +0000 2023,0,Hasto Ungkap Gibran Sudah Pamit: BUKAN LAGI Anggota PDIP. https://t.co/dsecyKosKM SekJen DPP PDI Perjuangan Hasto Kristiyanto menyebut Gibran Rakabuming Raka TELAH MENGEMBALIKAN Kartu Tanda Anggota (KTA) PDIP dan yang bersangkutan SUDAH PAMIT. https://t.co/9FVAGWuXEK,1721223607467331812,https://pbs.twimg.com/ext_tw_video_thumb/1721222278091005952/pu/img/vekG9AXNivSJ9ZwC.jpg,,in,"Jakarta Selatan, DKI Jakarta",0,0,0,https://x.com/sirajapadoha/status/1721223607467331812,4517167514,sirajapadoha
1720997164300829132,Sun Nov 05 16:02:39 +0000 2023,0,@ILCTalkshow Prabowo Subianto dan Gibran Rakabuming Raka menang 1 Putaran TDK teriak 2 tapi jelas kerjanya https://t.co/gDU8I1liof,1721196336337612806,https://pbs.twimg.com/media/F-Lq8Y1bQAANvV6.jpg,ILCTalkshow,in,"Semarang, Jawa Tengah",0,0,0,https://x.com/adelarpakkuraga/status/1721196336337612806,986758663665676289,adelarpakkuraga
1720997164300829132,Sun Nov 05 16:02:25 +0000 2023,0,@ILCTalkshow Prabowo Subianto dan Gibran Rakabuming Raka menang 1 Putaran TDK teriak 2 tapi jelas kerjanya https://t.co/Gs40KgMEaR,1721196275469816226,https://pbs.twimg.com/media/F-Lq44IbYAA8e93.jpg,ILCTalkshow,in,"Semarang, Jawa Tengah",0,0,0,https://x.com/adelarpakkuraga/status/1721196275469816226,986758663665676289,adelarpakkuraga
1720997164300829132,Sun Nov 05 16:01:45 +0000 2023,0,@ILCTalkshow Prabowo Subianto dan Gibran Rakabuming Raka menang 1 Putaran https://t.co/ACbuzzMPd7,1721196111430656078,https://pbs.twimg.com/media/F-LqvUXboAAF4eN.jpg,ILCTalkshow,in,"Semarang, Jawa Tengah",0,1,0,https://x.com/adelarpakkuraga/status/1721196111430656078,986758663665676289,adelarpakkuraga
1721196044812443757,Sun Nov 05 16:01:30 +0000 2023,0,Prabowo Subianto dan Gibran Rakabuming Raka menang 1 Putaran https://t.co/ZF3SRyr8Ya,1721196044812443757,https://pbs.twimg.com/media/F-LqrWmbYAAej2a.jpg,,in,"Semarang, Jawa Tengah",0,0,0,https://x.com/adelarpakkuraga/status/1721196044812443757,986758663665676289,adelarpakkuraga
1720997164300829132,Sun Nov 05 16:01:17 +0000 2023,0,@ILCTalkshow Prabowo Subianto dan Gibran Rakabuming Raka menang 1 Putaran https://t.co/GPWvUVoWrQ,1721195990877876523,https://pbs.twimg.com/media/F-LqoTmbwAArSVi.jpg,ILCTalkshow,in,"Semarang, Jawa Tengah",0,0,0,https://x.com/adelarpakkuraga/status/1721195990877876523,986758663665676289,adelarpakkuraga
1720997164300829132,Sun Nov 05 16:01:04 +0000 2023,0,@ILCTalkshow Prabowo Subianto dan Gibran Rakabuming Raka menang 1 Putaran https://t.co/DNkPdPQ0gL,1721195935869591907,https://pbs.twimg.com/media/F-LqlFjaEAAAQlf.jpg,ILCTalkshow,in,"Semarang, Jawa Tengah",0,0,0,https://x.com/adelarpakkuraga/status/1721195935869591907,986758663665676289,adelarpakkuraga
1720997164300829132,Sun Nov 05 16:00:42 +0000 2023,0,@ILCTalkshow Prabowo Subianto dan Gibran Rakabuming Raka menang 1 Putaran https://t.co/rc25HDWIEm,1721195844538597760,https://pbs.twimg.com/media/F-LqfvPaEAAsjIO.jpg,ILCTalkshow,in,"Semarang, Jawa Tengah",0,1,0,https://x.com/adelarpakkuraga/status/1721195844538597760,986758663665676289,adelarpakkuraga
1721195204475269295,Sun Nov 05 15:58:09 +0000 2023,25,Sekjen PDIP Hasto Kristiyanto mengatakan Wali Kota Solo Gibran Rakabuming Raka sudah bukan bagian dari keluarga besar PDI Perjuangan. #newsupdate #update #news #text https://t.co/Lq3NdZNrR1,1721195204475269295,,,in,,0,9,5,https://x.com/kumparan/status/1721195204475269295,759692754985242625,kumparan
1721191617485521270,Sun Nov 05 15:43:54 +0000 2023,0,Cawapres Gibran Rakabuming bersama Ketum PSSI @erickthohir terlihat menghadiri acara Kirab Trofi Piala Dunia U17 dgn berjalan sejauh 1 KM mulai dari Stadion Sriwedari menuju Pura Mangkunegaran sebagai bentuk antusiasme sukseskan Pildun U17. Salam olahraga‼️ #GibranCawapres https://t.co/KfoMjwjCse,1721191617485521270,https://pbs.twimg.com/ext_tw_video_thumb/1721191498262405120/pu/img/KMjnHkRE9F2ElFYX.jpg,,in,"Tangerang, Indonesia",0,0,0,https://x.com/rizkadwi0/status/1721191617485521270,733004524823011328,rizkadwi0
1721181113773928472,Sun Nov 05 15:02:10 +0000 2023,1,Tim Kampanye Nasional (TKN) Prabowo Subianto dan Gibran Rakabuming Raka bakal diumumkan pada Senin besok (6/11/2023) di Jakarta setelah dipilihnya Ke... https://t.co/k208r96Ksn,1721181113773928472,,,in,,0,0,0,https://x.com/inilahdotcom/status/1721181113773928472,46693036,inilahdotcom
1721180572763013460,Sun Nov 05 15:00:01 +0000 2023,0,Bobby Nasution menyatakan akan mendukung Capres Prabowo Subianto dan Cawapres Gibran Rakabuming pada Pilpres 2024 https://t.co/o5yA2lkz1z,1721180572763013460,,,in,iNews Tower,0,0,0,https://x.com/officialinews_/status/1721180572763013460,132078023,officialinews_
1721178052045267393,Sun Nov 05 14:50:00 +0000 2023,0,Bobby Nasution menyatakan akan mendukung Capres Prabowo Subianto dan Cawapres Gibran Rakabuming pada Pilpres 2024 https://t.co/lrCXva3DL0,1721178052045267393,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/inewsdotid/status/1721178052045267393,944180887171743745,inewsdotid
1721173006381470110,Sun Nov 05 14:29:58 +0000 2023,0,Event tersebut turut serta dihadiri beberapa pejabat seperti Walikota Surakarta Gibran Rakabuming Ketum PSSI Erick Thohir dan masih banyak lagi! https://t.co/tiRYPn9ASL,1721173011162914827,https://pbs.twimg.com/media/F-LDgiobkAAtaba.jpg,CuitanSenapati,in,,0,1,0,https://x.com/CuitanSenapati/status/1721173011162914827,1516272653723525123,CuitanSenapati
1721169638233722953,Sun Nov 05 14:16:44 +0000 2023,0,Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden untuk kesejahteraan bangsa.,1721169683439919381,,Positivevi47750,in,,0,0,0,https://x.com/Positivevi47750/status/1721169683439919381,1690163756482048000,Positivevi47750
1721169638233722953,Sun Nov 05 14:16:41 +0000 2023,0, Peresmian Posko Juang Prabowo Gibran ini menjadi momen penting dalam upaya memenangkan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden Republik Indonesia tahun 2024 Puja menjelaskan.,1721169667778347499,,Positivevi47750,in,,0,1,0,https://x.com/Positivevi47750/status/1721169667778347499,1690163756482048000,Positivevi47750
1721169638233722953,Sun Nov 05 14:16:35 +0000 2023,0,Inisiator peresmian posko juang Prabowo Subianto dan Gibran Rakabuming Raka Lisman Puja Kesuma mengatakan bahwa posko tersebut menjadi langkah dan pusat dalam perjuangan menuju Pemilu Presiden tahun 2024.,1721169641983397965,,Positivevi47750,in,,0,1,0,https://x.com/Positivevi47750/status/1721169641983397965,1690163756482048000,Positivevi47750
1721169391772189137,Sun Nov 05 14:15:35 +0000 2023,0,Segera Beri Keputusan Terkait Dugaan Pelanggaran Kode Etik Hakim MK Begini Respon Gibran Rakabuming Raka https://t.co/DVJwIX8pql #JokowiMenyerahlah Kami Muak Rehan Minggu Mikasa #AniesMuhaimin2024 #RonydiTravelFairJakarta Betah #RonykeSurabayaLagi,1721169391772189137,,,in,,0,0,0,https://x.com/GWorld86217/status/1721169391772189137,1676463061316825089,GWorld86217
1721167985845342335,Sun Nov 05 14:10:00 +0000 2023,14,Ada Rapat Bareng Jokowi Ma'ruf Tunda Makan Siang Bareng 3 Cawapres Besok Makan siang bersama Wakil Presiden Ma'ruf Amin dengan 3 bacawapres Muhaimin Iskandar Mahfud Md dan Gibran Rakabuming Raka besok Senin ditunda. &gt;&gt; https://t.co/c3sIztHq0t #detikcom,1721167985845342335,,,in,,4,10,2,https://x.com/detikcom/status/1721167985845342335,69183155,detikcom
1721162561805300162,Sun Nov 05 13:48:32 +0000 2023,0, Peresmian Posko Juang Prabowo Gibran ini menjadi momen penting dalam upaya memenangkan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden Republik Indonesia tahun 2024 Puja menjelaskan.,1721162585360474440,,NurirmaJ93483,in,,0,1,0,https://x.com/NurirmaJ93483/status/1721162585360474440,1689925327802564608,NurirmaJ93483
1721162561805300162,Sun Nov 05 13:48:28 +0000 2023,0,Inisiator peresmian posko juang Prabowo Subianto dan Gibran Rakabuming Raka Lisman Puja Kesuma mengatakan bahwa posko tersebut menjadi langkah dan pusat dalam perjuangan menuju Pemilu Presiden tahun 2024.,1721162565978566793,,NurirmaJ93483,in,,0,1,0,https://x.com/NurirmaJ93483/status/1721162565978566793,1689925327802564608,NurirmaJ93483
1721161180431925700,Sun Nov 05 13:42:57 +0000 2023,93,Publik Kota Padang diramaikan dengan baliho Prabowo Subianto dan Gibran Rakabuming di Pilpres 2024. Tampak foto Gibran terlihat tidak presisi ukuran kepala dan badannya. #pemilupedia #newsupdate #update #news #videonews https://t.co/ueSLxBedJh https://t.co/UMw2vV8SuR,1721161180431925700,https://pbs.twimg.com/ext_tw_video_thumb/1721160992581677056/pu/img/HqrEpqCpChKRvcuc.jpg,,in,,15,46,29,https://x.com/kumparan/status/1721161180431925700,759692754985242625,kumparan
1721140906454327422,Sun Nov 05 13:38:28 +0000 2023,0,@Gerindra Aku cinta kau Prabowo Subianto dan Gibran Rakabuming Raka,1721160051292004632,,Gerindra,in,Malang,0,0,0,https://x.com/RatuKampung/status/1721160051292004632,892264301125222400,RatuKampung
1721157956790866359,Sun Nov 05 13:30:20 +0000 2023,0,Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden untuk kesejahteraan bangsa.,1721158005532889535,,NurIrma98882,in,,0,0,0,https://x.com/NurIrma98882/status/1721158005532889535,1689918373218664448,NurIrma98882
1721157956790866359,Sun Nov 05 13:30:15 +0000 2023,0, Peresmian Posko Juang Prabowo Gibran ini menjadi momen penting dalam upaya memenangkan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden Republik Indonesia tahun 2024 Puja menjelaskan.,1721157981717647568,,NurIrma98882,in,,0,1,0,https://x.com/NurIrma98882/status/1721157981717647568,1689918373218664448,NurIrma98882
1721157956790866359,Sun Nov 05 13:30:10 +0000 2023,0,Inisiator peresmian posko juang Prabowo Subianto dan Gibran Rakabuming Raka Lisman Puja Kesuma mengatakan bahwa posko tersebut menjadi langkah dan pusat dalam perjuangan menuju Pemilu Presiden tahun 2024.,1721157960964210855,,NurIrma98882,in,,0,1,0,https://x.com/NurIrma98882/status/1721157960964210855,1689918373218664448,NurIrma98882
1721156565628313954,Sun Nov 05 13:24:47 +0000 2023,0,Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden untuk kesejahteraan bangsa.,1721156606849847611,,irmajahsa88687,in,,0,0,0,https://x.com/irmajahsa88687/status/1721156606849847611,1660507383293173762,irmajahsa88687
1721156565628313954,Sun Nov 05 13:24:43 +0000 2023,0, Peresmian Posko Juang Prabowo Gibran ini menjadi momen penting dalam upaya memenangkan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden Republik Indonesia tahun 2024 Puja menjelaskan.,1721156589347074399,,irmajahsa88687,in,,0,1,0,https://x.com/irmajahsa88687/status/1721156589347074399,1660507383293173762,irmajahsa88687
1721156565628313954,Sun Nov 05 13:24:38 +0000 2023,0,Inisiator peresmian posko juang Prabowo Subianto dan Gibran Rakabuming Raka Lisman Puja Kesuma mengatakan bahwa posko tersebut menjadi langkah dan pusat dalam perjuangan menuju Pemilu Presiden tahun 2024.,1721156569805816236,,irmajahsa88687,in,,0,1,0,https://x.com/irmajahsa88687/status/1721156569805816236,1660507383293173762,irmajahsa88687
1721155925271306314,Sun Nov 05 13:22:04 +0000 2023,0,Wali Kota Solo Gibran Rakabuming Raka dikabarkan segera menjadi kader Partai Golkar. Hal ini disampaikan langsung Sekjen PDIP Hasto Kristiyanto. Dia mengaku ditelepon Ketum Golkar Airlangga Hartarto terkait Gibran Rakabuming Raka yang akan digolkarkan. https://t.co/U6KyxIcj2S,1721155925271306314,,,in,Jakarta,0,0,0,https://x.com/erakinimedia/status/1721155925271306314,1666299675329298433,erakinimedia
1721150187945804091,Sun Nov 05 13:12:44 +0000 2023,0,Jokowi juga menjabat sebagai Walikota dan beliau juga mantan Danpaspampres. Kendati presiden Jokowi sudah tidak akan mencalonkan diri sebagai presiden dalam kontestasi mendatang terdapat anak kandung Jokowi Gibran Rakabuming Raka yang akan berkontestasi dalam pemilu mendatang.,1721153574598836394,,PBHI_Nasional,in,"Jakarta Pusat, DKI Jakarta",0,1,0,https://x.com/PBHI_Nasional/status/1721153574598836394,1218079553999867904,PBHI_Nasional
1721151808947802167,Sun Nov 05 13:05:43 +0000 2023,0,Gibran Rakabuming Terancam Gagal Jadi Cawapres Prabowo Subianto Refly Harun: Tidak Lagi Memiliki Legitimasi https://t.co/tVeU49gPXp,1721151808947802167,,,in,,0,0,0,https://x.com/DistrikNews_com/status/1721151808947802167,1692999811,DistrikNews_com
1721149687523389696,Sun Nov 05 12:57:17 +0000 2023,0,Pengamat politik M. Qodari pemilihan presiden RI 2024 akan dimenangkan oleh Prabowo Subianto dan Gibran Rakabuming Raka. ditayangkan di YouTube ILC (2/11). @SudaryonoSudar @prabowo Gibran_rakabuming @Gerindra @GerindraJateng #prabowosubianto #prabowo https://t.co/k6PQtJCVPG,1721149687523389696,https://pbs.twimg.com/ext_tw_video_thumb/1721149394786058240/pu/img/cZ5KH4vDetRC8iyT.jpg,,in,"Kota Magelang, Jawa Tengah",0,0,0,https://x.com/gerindra_ktmgl/status/1721149687523389696,1590695815341039616,gerindra_ktmgl
1721147068516126968,Sun Nov 05 12:46:53 +0000 2023,0,Hasto Sebut Gibran Rakabuming Bukan Lagi Kader PDIP Karena Telah Dikuningkan Oleh Golkar https://t.co/ZJw5udM2NB,1721147068516126968,,,in,,0,0,0,https://x.com/BoltimNews/status/1721147068516126968,1630595491502379013,BoltimNews
1721144796197376140,Sun Nov 05 12:37:51 +0000 2023,1,Partai Gerindra bersama dengan partai Koalisi Indonesia Maju (KIM) Kabupaten Karangasem melaksanakan rapat konsolidasi untuk menyusun tim pemenangan Prabowo Subianto-Gibran Rakabuming di Sekretariat DPC Gerindra Karangasem https://t.co/hgbAX72oRz https://t.co/r6I2MIe1Du,1721144796197376140,https://pbs.twimg.com/media/F-K8EiNagAACj0e.jpg,,in,,0,0,0,https://x.com/Gerindra_Krngsm/status/1721144796197376140,1604018340388696065,Gerindra_Krngsm
1721143758241321253,Sun Nov 05 12:33:43 +0000 2023,2,Koalisi Indonesia Maju (KIM) Kabupaten Karangasem Bali menargetkan 60 % perolehan suara untuk kemenangan Prabowo Subianto dan Gibran Rakabuming Raka pada Pilpres 2024. #prabowo #mendingprabowo #terusmajubersamaprabowo #dekade08 #koalisiindonesiamaju #dpcgerindrakarangasem https://t.co/Hy2EGvsDeL,1721143758241321253,https://pbs.twimg.com/media/F-K7IFFbgAAUW5e.jpg,,in,,0,0,1,https://x.com/Gerindra_Krngsm/status/1721143758241321253,1604018340388696065,Gerindra_Krngsm
1721136538778796129,Sun Nov 05 12:28:43 +0000 2023,20,@PartaiSocmed Hasto Kristiyanto: Gibran Rakabuming Raka sudah bukan lagi menjadi bagian keluarga besar PDI Perjuangan. Oh udah dipecat kali... pantes jd kader Golker https://t.co/1d1c1gFub1 https://t.co/SUAaGKvVbv,1721142498243096833,https://pbs.twimg.com/media/F-K5uyGbgAAXy0j.png,PartaiSocmed,in,"Bandung, Jawa Barat",1,5,0,https://x.com/tijabar/status/1721142498243096833,2395238000,tijabar
1721139476985225675,Sun Nov 05 12:16:43 +0000 2023,0,https://t.co/o7z2S8IP84 Wali Kota Medan Bobby Nasution secara tersirat menyatakan akan mendukung bakal capres-cawapres Prabowo Subianto dan Gibran Rakabuming Raka di Pilpres 2024. #alurinfo #jokowi #bobbynasution,1721139476985225675,,,in,,0,0,0,https://x.com/Alurinfo_Ind/status/1721139476985225675,1702377197938589696,Alurinfo_Ind
1721135275298943458,Sun Nov 05 12:00:01 +0000 2023,12,Sekjen PDIP Hasto Kristiyanto memastikan Gibran Rakabuming Raka sudah tidak menjadi bagian dari partai berlogo banteng tersebut. Hasto pun membenarkan bahwa sebelumnya Gibran sudah menyatakan pamit kepada Ketua DPP PDIP Puan Maharani. https://t.co/sH6xwNFsun,1721135275298943458,https://pbs.twimg.com/ext_tw_video_thumb/1721070868519067648/pu/img/nweDhOXvgcjphqY-.jpg,,in,,1,6,5,https://x.com/detikcom/status/1721135275298943458,69183155,detikcom
1721135111041925158,Sun Nov 05 11:59:22 +0000 2023,239,Surakarta menutup acara Trophy Experience FIFA U-17 World Indonesia 2023™️ dengan sangat meriah bertempat di Pura Mangkunegaran pada Minggu pagi (5/11). Hadir Ketua Umum PSSI Erick Thohir Plt Gubernur Jateng Nana Sudjana Wali Kota Surakarta Gibran Rakabuming Raka Kanjeng https://t.co/WuWC9W3IVB,1721135111041925158,https://pbs.twimg.com/media/F-KzQUlakAAL51f.jpg,,in,Jakarta,2,7,26,https://x.com/PSSI/status/1721135111041925158,2363027508,PSSI
